#{"t_start": 1733228792.3435369, "env_id": "Acrobot-v1"}
r,l,t
-84.0,85,25.108714
-77.0,78,25.124195
-82.0,83,25.140255
-75.0,76,25.155219
-85.0,86,25.171888
-85.0,86,25.188813
-134.0,135,25.561655
-80.0,81,25.578743
-71.0,72,25.593436
-84.0,85,25.61066
-89.0,90,25.628851
-81.0,82,25.645762
-71.0,72,25.660372
-86.0,87,25.677906
-71.0,72,25.692887
-73.0,74,25.707965
-116.0,117,25.731741
-97.0,98,25.75191
-78.0,79,25.768013
-94.0,95,25.786356
-85.0,86,25.802952
-71.0,72,25.816822
-80.0,81,25.832675
-86.0,87,25.849475
-93.0,94,25.867726
-76.0,77,25.882719
-72.0,73,25.896899
-86.0,87,25.913705
-69.0,70,25.927241
-87.0,88,25.944143
-86.0,87,25.961017
-84.0,85,26.290928
-72.0,73,26.305799
-80.0,81,26.322266
-86.0,87,26.339739
-90.0,91,26.357936
-70.0,71,26.372688
-73.0,74,26.387729
-80.0,81,26.404234
-72.0,73,26.419232
-62.0,63,26.431977
-64.0,65,26.445054
-86.0,87,26.462681
-78.0,79,26.478705
-78.0,79,26.493956
-70.0,71,26.507753
-96.0,97,26.526716
-103.0,104,26.54674
-83.0,84,26.563032
-61.0,62,26.575014
-78.0,79,26.59023
-81.0,82,26.606114
-79.0,80,26.6222
-84.0,85,26.640662
-82.0,83,26.658226
-75.0,76,26.673721
-109.0,110,27.015507
-76.0,77,27.031569
-72.0,73,27.046571
-205.0,206,27.088149
-73.0,74,27.103805
-150.0,151,27.136189
-88.0,89,27.154783
-78.0,79,27.171449
-64.0,65,27.185361
-71.0,72,27.200473
-89.0,90,27.219625
-80.0,81,27.236888
-79.0,80,27.253208
-70.0,71,27.270462
-78.0,79,27.286915
-118.0,119,27.310951
-80.0,81,27.327322
-80.0,81,27.343801
-97.0,98,27.363544
-97.0,98,27.383671
-88.0,89,27.401392
-137.0,138,27.429193
-80.0,81,27.802363
-92.0,93,27.822544
-71.0,72,27.83726
-75.0,76,27.853215
-88.0,89,27.871876
-62.0,63,27.884772
-83.0,84,27.902623
-88.0,89,27.921472
-87.0,88,27.940235
-89.0,90,27.958761
-86.0,87,27.97649
-85.0,86,27.99409
-158.0,159,28.026
-78.0,79,28.042308
-78.0,79,28.058516
-87.0,88,28.076033
-83.0,84,28.092697
-99.0,100,28.112171
-101.0,102,28.132116
-165.0,166,28.164326
-76.0,77,28.179346
-71.0,72,28.193307
-72.0,73,28.207595
-115.0,116,28.549991
-61.0,62,28.562585
-91.0,92,28.581155
-88.0,89,28.599116
-70.0,71,28.613382
-92.0,93,28.632337
-80.0,81,28.648597
-100.0,101,28.66873
-78.0,79,28.684489
-79.0,80,28.700484
-86.0,87,28.71782
-89.0,90,28.735761
-95.0,96,28.754417
-82.0,83,28.770687
-79.0,80,28.786558
-86.0,87,28.803876
-130.0,131,28.829378
-77.0,78,28.844659
-76.0,77,28.859671
-78.0,79,28.875101
-79.0,80,28.890578
-88.0,89,28.907745
-74.0,75,28.922293
-70.0,71,29.25934
-108.0,109,29.281601
-89.0,90,29.299905
-91.0,92,29.318423
-79.0,80,29.334615
-72.0,73,29.349329
-78.0,79,29.36553
-88.0,89,29.383512
-64.0,65,29.396561
-70.0,71,29.410901
-88.0,89,29.428676
-198.0,199,29.468203
-80.0,81,29.48519
-83.0,84,29.501933
-71.0,72,29.516176
-108.0,109,29.537258
-92.0,93,29.555299
-79.0,80,29.571032
-125.0,126,29.595152
-76.0,77,29.609876
-87.0,88,29.626826
-85.0,86,29.643704
-88.0,89,29.660684
-93.0,94,29.995827
-92.0,93,30.014628
-78.0,79,30.030636
-63.0,64,30.043875
-70.0,71,30.058516
-89.0,90,30.076508
-72.0,73,30.091007
-90.0,91,30.109161
-81.0,82,30.12542
-72.0,73,30.139888
-72.0,73,30.154398
-84.0,85,30.171364
-86.0,87,30.188959
-83.0,84,30.205738
-69.0,70,30.219471
-90.0,91,30.237192
-88.0,89,30.254706
-64.0,65,30.267397
-95.0,96,30.286067
-77.0,78,30.30164
-77.0,78,30.316889
-77.0,78,30.332166
-77.0,78,30.347405
-94.0,95,30.366043
-85.0,86,30.382727
-78.0,79,30.71434
-90.0,91,30.733433
-71.0,72,30.74869
-78.0,79,30.764832
-98.0,99,30.785015
-90.0,91,30.803526
-72.0,73,30.818596
-85.0,86,30.836008
-91.0,92,30.854793
-89.0,90,30.87305
